"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnip4.8",8.21655898995528e-70,0.444884659993637,0.948,0.619,2.55148806315081e-65,"13","Kcnip4"
"Map3k9",8.2306852604405e-70,0.272567160478681,0.34,0.104,2.55587469392459e-65,"13","Map3k9"
"Nlgn1.10",3.55932750860607e-69,0.449838748921941,0.871,0.517,1.10527797124744e-64,"13","Nlgn1"
"Epha10.8",6.44244146063561e-69,0.482742228137416,0.672,0.322,2.00057134677118e-64,"13","Epha10"
"Chn1.10",4.19764645036733e-68,0.431585986366879,0.962,0.708,1.30349515223257e-63,"13","Chn1"
"Fnbp1l.8",9.4455751206559e-68,0.46271167869074,0.882,0.541,2.93313444221728e-63,"13","Fnbp1l"
"Kcnf1.3",1.80996558241836e-67,0.357595832446565,0.438,0.163,5.62048612308375e-63,"13","Kcnf1"
"Grik2.10",4.54147141926469e-67,0.433064879306442,0.853,0.501,1.41026311982427e-62,"13","Grik2"
"Pcgf5.1",1.97433142369729e-66,0.38925365325871,0.549,0.234,6.13089137000721e-62,"13","Pcgf5"
"Cacna1g.9",2.9685461760212e-66,0.319998330282096,0.459,0.169,9.21822644039864e-62,"13","Cacna1g"
"Elavl4.5",3.90448783107475e-66,0.394779503811553,0.569,0.244,1.21246060618364e-61,"13","Elavl4"
"Zbtb20.10",8.07788984613166e-66,-1.37005600797951,0.062,0.399,2.50842713391926e-61,"13","Zbtb20"
"Alcam.6",4.57254370680577e-65,-1.0117965957805,0.18,0.492,1.4199119972744e-60,"13","Alcam"
"Atp2b1.10",5.07532218753566e-65,0.368042977896886,0.987,0.851,1.57603979889545e-60,"13","Atp2b1"
"Fam81a.8",8.81172743736531e-65,0.389625739839576,0.595,0.26,2.73630572112505e-60,"13","Fam81a"
"Rnf112.12",1.11666726567111e-64,0.427278523085037,0.886,0.536,3.46758686008848e-60,"13","Rnf112"
"Plxna1.1",1.20156168210089e-64,0.313788455403674,0.386,0.135,3.73120949142791e-60,"13","Plxna1"
"Plpp6",3.39718048563326e-64,0.361171779157807,0.43,0.163,1.0549264562037e-59,"13","Plpp6"
